reference_id;short_reference;year;full_reference;doi_or_url
33;Liu and Zhang, 2020a;2020;Liu, J.-C., Zhang, Z.: Prediction of explosive spalling of heated steel fiber reinforced concrete using artificial neural networks. J. Adv. Concr. Technol. 18(5), 227–240 (2020);https://doi.org/10.3151/jact.18.227
34;Liu and Zhang, 2020b;2020;Liu, J.-C., Zhang, Z.: A machine learning approach to predict explosive spalling of heated concrete. Arch. Civ. Mech. Eng. 20(4), 134 (2020);https://doi.org/10.1007/s43452-020-00135-w
35;Liu and Zhang, 2020c;2020;Liu, J.-C., Zhang, Z.: Neural network models to predict explosive spalling of PP fiber reinforced concrete under heating. J. Build. Eng. 32, 101472 (2020);https://doi.org/10.1016/j.jobe.2020.101472
36;Maier et al., 2020;2020;Maier, M., Saxer, A., Bergmeister, K., Lackner, R.: An experimental fire-spalling assessment procedure for concrete mixtures. Constr. Build. Mater. 232, 117172 (2020);https://doi.org/10.1016/j.conbuildmat.2019.117172
37;Liu et al., 2021;2021;Liu, J.-C., Huang, L., Tian, Z., Ye, H.: Knowledge-enhanced data-driven models for quantifying the effectiveness of PP fibers in spalling prevention of ultra-high performance concrete. Constr. Build. Mater. 299, 123946 (2021);https://doi.org/10.1016/j.conbuildmat.2021.123946
38;Mohaine et al., 2021;2021;Mohaine, S., Boström, L., Lion, M., McNamee, R., Robert, F.: Cross-comparison of screening tests for fire spalling of concrete. Fire Mater. 45(7), 929–942 (2021);https://doi.org/10.1002/fam.2946
39;Qin et al., 2021;2021;Qin, H., Yang, J., Yan, K., Doh, J.-H., Wang, K., Zhang, X.: Experimental research on the spalling behaviour of ultra-high performance concrete under fire conditions. Constr. Build. Mater. 303, 124464 (2021);https://doi.org/10.1016/j.conbuildmat.2021.124464
40;Franchetto, 2022;2022;Franchetto, A.S.: Investigação das características físicas e propriedades residuais de concretos autoadensáveis expostos a altas temperaturas. Master’s thesis, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil (2022);https://lume.ufrgs.br/handle/10183/254392
41;Liu et al., 2022;2022;Liu, J.-C., Huang, L., Chen, Z., Ye, H.: A comparative study of artificial intelligent methods for explosive spalling diagnosis of hybrid fiber-reinforced ultra-high-performance concrete. Int. J. Civ. Eng. 20(6), 639–660 (2022);https://doi.org/10.1007/s40999-021-00689-7
42;Lu et al., 2022;2022;Lu, J.-X., Shen, P., Sun, Y., Poon, C.S.: Strategy for preventing explosive spalling and enhancing material efficiency of lightweight ultra high-performance concrete. Cem. Concr. Res. 158, 106842 (2022);https://doi.org/10.1016/j.cemconres.2022.106842
43;Qiao et al., 2022;2022;Qiao, R., Guo, Y., Zhou, H., Xi, H.: Explosive spalling mechanism and modeling of concrete lining exposed to fire. Materials 15(9), 3131 (2022);https://doi.org/10.3390/ma15093131
44;Hernández-Figueirido et al., 2024;2024;Hernández-Figueirido, D., Reig, L., Melchor-Eixea, A., Roig-Flores, M., Albero, V., Piquer, A., Pitarch, A.M.: Spalling phenomenon and fire resistance of ultrahigh-performance concrete. Constr. Build. Mater. 443, 137695 (2024);https://doi.org/10.1016/j.conbuildmat.2024.137695
45;Klimek et al., 2024;2024;Klimek, A., Stelzner, L., Hothan, S., Zehfuß, J.: Influence of thermal strain on concrete spalling. Mater. Struct. 57(1), 15 (2024);https://doi.org/10.1617/s11527-023-02274-x
46;Mróz et al., 2024;2024;Mróz, K., Hager, I., Tekieli, M., Kočí, V., Castro-Gomes, J.: Determination of strain and stress field in screening test for concrete fire spalling—passive restraint effect. Materials 17(24), 6210 (2024);https://doi.org/10.3390/ma17246210
47;Abbas et al., 2025;2025;Abbas, H., Abadel, A., Alaskar, A., Almusallam, T., Al-Salloum, Y.: Effects of moisture on properties of concrete exposed to elevated temperature. Arab. J. Sci. Eng. 50(3), 1477–1492 (2025);https://doi.org/10.1007/s13369-024-09012-7
