Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
5;0.6;1.306;1.306;20;0;35;400;0;15;0;0;0;0;0;0;0;0;0
5;0.6;1.306;1.306;20;0;35;600;0;15;0;0;0;0;0;0;0;0;0
5;0.6;1.306;1.306;20;0;35;800;0;15;0;0;0;0;0;0;0;0;0
5;0.4;1.638;1.638;20;0;35;200;0;15;0;0;0;0;0;0;0;0;0
5;0.4;1.638;1.638;20;0;35;400;0;15;0;0;0;0;0;0;0;0;0
5;0.4;1.638;1.638;20;0;35;600;0;15;0;0;0;0;0;0;0;0;0
5;0.4;1.638;1.638;20;0;35;800;0;15;0;0;0;0;0;0;0;0;0
5;0.5;1.506;1.506;20;0;35;200;0;15;0;0;0;0;0;0;0;0;0
5;0.5;1.506;1.506;20;0;35;400;0;15;0;0;0;0;0;0;0;0;0
5;0.5;1.506;1.506;20;0;35;600;0;15;0;0;0;0;0;0;0;0;0
5;0.5;1.506;1.506;20;0;35;800;0;15;0;0;0;0;0;0;0;0;0
6;0.301;1.347;2.626;66;0.049;100;678;0;16;0;0;0;0;0;0;0;0;1
6;0.396;1.58;2.796;66;0.051;100;678;0;16;0;0;0;0;0;0;0;0;1
6;0.395;1.444;1.8;66;0.048;100;678;0;16;0;0;1;18;6;0;0;0;0
6;0.573;2.502;3.38;66;0.052;100;678;0;16;0;0;0;0;0;0;0;0;1
7;0.54;2;3.257;5;0.035;75;300;0;16;0;0;0;0;0;0;0;0;0
7;0.54;2;3.257;5;0.035;75;500;0;16;0;0;0;0;0;0;0;0;0
7;0.54;2;3.257;5;0.035;75;700;0;16;0;0;0;0;0;0;0;0;0
7;0.54;2;3.257;5;0.035;50;300;0;16;0;0;0;0;0;0;0;0;0
7;0.54;2;3.257;5;0.035;50;500;0;16;0;0;0;0;0;0;0;0;0
7;0.54;2;3.257;5;0.035;50;700;0;16;0;0;0;0;0;0;0;0;0
7;0.57;2.4;2.543;5;0.035;75;300;0;32;0;0;0;0;0;0;0;0;0
7;0.57;2.4;2.543;5;0.035;75;500;0;32;0;0;0;0;0;0;0;0;0
7;0.57;2.4;2.543;5;0.035;75;700;0;32;0;0;0;0;0;0;0;0;0
7;0.57;2.4;2.543;5;0.035;50;300;0;32;0;0;0;0;0;0;0;0;0
7;0.57;2.4;2.543;5;0.035;50;500;0;32;0;0;0;0;0;0;0;0;0
7;0.57;2.4;2.543;5;0.035;50;700;0;32;0;0;0;0;0;0;0;0;0
7;0.46;1.767;2.128;5;0.035;75;300;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.767;2.128;5;0.035;75;500;0;16;0;0;0;0;0;0;0;0;0
7;0.46;1.767;2.128;5;0.035;75;700;0;16;0;0;0;0;0;0;0;0;1
7;0.46;1.767;2.128;5;0.035;50;300;0;16;0;0;0;0;0;0;0;0;0
