idx_original;Reference;Water/binder ratio;Coarse aggregate/binder ratio;Fine aggregate/binder ratio;Heating rate, °C/min;Moisture content;Characteristic length, mm;Maximum exposure temperature, °C;Silica fume/binder ratio;Maximum aggregate size, mm;GGBS/binder ratio;Fly ash/binder ratio;Quantity of PP fiber, kg/m³;Diameter of PP fiber, um;Length of PP fiber,mm;Quantity of S fiber, kg/m³;Diameter of S fiber, mm;Length of S fiber,mm;output
42;3;0.261;1.993;1.121;75.0;0.021;50.0;600.0;0.0;20.0;0.0;0.268;0.0;0.0;0;0.0;0.0;0;0
43;3;0.261;1.993;1.121;66.0;0.021;50.0;678.0;0.0;20.0;0.0;0.268;0.0;0.0;0;0.0;0.0;0;0
44;3;0.533;3.166;1.783;66.0;0.0;50.0;678.0;0.0;20.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
45;3;0.533;3.166;1.783;66.0;0.037;50.0;678.0;0.0;20.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
46;3;0.3;1.766;1.185;66.0;0.0;50.0;678.0;0.0;20.0;0.0;0.15;0.0;0.0;0;0.0;0.0;0;0
47;3;0.3;1.766;1.185;66.0;0.014;50.0;678.0;0.0;20.0;0.0;0.15;0.0;0.0;0;0.0;0.0;0;0
48;3;0.261;1.993;1.121;66.0;0.0;50.0;678.0;0.0;20.0;0.0;0.268;0.0;0.0;0;0.0;0.0;0;0
49;3;0.261;1.993;1.121;66.0;0.026;50.0;678.0;0.0;20.0;0.0;0.268;0.0;0.0;0;0.0;0.0;0;0
50;3;0.3;1.766;1.185;150.0;0.012;75.0;200.0;0.0;20.0;0.0;0.15;0.0;0.0;0;0.0;0.0;0;0
51;3;0.3;1.766;1.185;105.0;0.012;75.0;400.0;0.0;20.0;0.0;0.15;0.0;0.0;0;0.0;0.0;0;0
52;3;0.3;1.766;1.185;75.0;0.012;75.0;600.0;0.0;20.0;0.0;0.15;0.0;0.0;0;0.0;0.0;0;0
53;3;0.3;1.766;1.185;66.0;0.012;75.0;678.0;0.0;20.0;0.0;0.15;0.0;0.0;0;0.0;0.0;0;0
54;4;0.26;1.926;0.995;10.0;0.0;50.0;400.0;0.107;16.0;0.0;0.0;0.6;20.0;20;40.0;2.0;30;0
55;4;0.26;1.926;0.995;10.0;0.0;50.0;600.0;0.107;16.0;0.0;0.0;0.6;20.0;20;40.0;2.0;30;0
56;5;0.5;1.432;1.432;20.0;0.0;35.0;200.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
57;5;0.5;1.432;1.432;20.0;0.0;35.0;400.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
58;5;0.5;1.432;1.432;20.0;0.0;35.0;600.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
59;5;0.5;1.432;1.432;20.0;0.0;35.0;800.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
60;5;0.6;1.306;1.306;20.0;0.0;35.0;200.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
61;5;0.6;1.306;1.306;20.0;0.0;35.0;400.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
62;5;0.6;1.306;1.306;20.0;0.0;35.0;600.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
63;5;0.6;1.306;1.306;20.0;0.0;35.0;800.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
64;5;0.4;1.638;1.638;20.0;0.0;35.0;200.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
65;5;0.4;1.638;1.638;20.0;0.0;35.0;400.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
66;5;0.4;1.638;1.638;20.0;0.0;35.0;600.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
67;5;0.4;1.638;1.638;20.0;0.0;35.0;800.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
68;5;0.5;1.506;1.506;20.0;0.0;35.0;200.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
69;5;0.5;1.506;1.506;20.0;0.0;35.0;400.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
70;5;0.5;1.506;1.506;20.0;0.0;35.0;600.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
71;5;0.5;1.506;1.506;20.0;0.0;35.0;800.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0
72;6;0.301;1.347;2.626;66.0;0.049;100.0;678.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
73;6;0.396;1.58;2.796;66.0;0.051;100.0;678.0;0.0;16.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;1
